|filename|nodes|number-of-jobs|index|type|machine-speed|number-of-resources|duration-time|submission-time|wallclock-limit|read-time|dump-time|checkpoint-interval|scale-widths-based-on|scale-time-width-based-on|reservation-json
0|1490_nodes_100_jobs_65bd02d8-49dd-42a7-81b7-7cf4aad78704.json|1490|100||parallel_homogeneous|1|/ac-project/cwalker/basefiles/wl2.csv:0:csv|/ac-project/cwalker/basefiles/wl2.csv:1:h:csv|200:exp|101%|False|False|False|False|False|False
0|1490_nodes_100_jobs_68882740-101d-469f-8213-4fafc4e86f6e.json|1490|100||parallel_homogeneous|1|/ac-project/cwalker/basefiles/wl2.csv:0:csv|/ac-project/cwalker/basefiles/wl2.csv:1:h:csv|200:exp|101%|False|False|False|False|False|"{""reservations-array"": [{""type"": ""parallel_homogeneous"", ""machines"": {""prefix"": ""a"", ""machine-speed"": 1, ""interval"": ""0-1489"", ""total-resources"": ""0-1489""}, ""repeat-every"": ""7days 00:00:00"", ""time"": ""12:00:00"", ""start"": ""7days 12:00:00"", ""submit"": -1, ""count"": 200}]}"
